facility_index,facility_name,facility_state,is_federal,bill_name,bill_street_1,bill_street_2,bill_city_state_zip,bill_zip_code,ship_name,ship_street_1,ship_street_2,ship_city_state_zip,ship_zip_code,website
101,ASPC Yuma - La Paz Unit,AZ,0,ASPC Yuma - La Paz Unit,P.O. Box 8819,,"San Luis, AZ 85349",85349,ASPC Yuma - La Paz Unit,P.O. Box 8819,,"San Luis, AZ 85349",85349,https://www.prisonpro.com/content/yuma-arizona-state-prison-complex
102,ASPC - Florence West,AZ,0,ASPC - Florence West,P.O. Box 9200,,"Florence, AZ 85132-9200",85132,ASPC - Florence West,P.O. Box 9200,,"Florence, AZ 85132-9200",85132,https://www.prisonpro.com/content/arizona-state-prison-florence-west
103,ASPC - Florence East,AZ,0,ASPC - Florence East,PO Box 5000,,"Florence, AZ 85132",85132,ASPC - Florence East,PO Box 5000,,"Florence, AZ 85132",85132,https://www.prisonpro.com/content/arizona-state-prison-florence-west
104,Arizona State Prison - Phoenix West,AZ,0,Arizona State Prison - Phoenix West,P.O. Box 18640,,"Phoenix, AZ 85005-8640",85005,Arizona State Prison - Phoenix West,P.O. Box 18640,,"Phoenix, AZ 85005-8640",85005,https://www.prisonpro.com/content/arizona-state-prison-phoenix-west
105,Red Rock Correctional Center,AZ,0,Red Rock Correctional Center,1750 East Arica Road,,"Eloy, AZ 85131",85131,Red Rock Correctional Center,1750 East Arica Road,,"Eloy, AZ 85131",85131,https://www.prisonpro.com/content/red-rock-correctional-facility
106,Saguaro Correctional Center,AZ,0,Saguaro Correctional Center,1252 E. Arica Road,,"Eloy, AZ 85131",85131,Saguaro Correctional Center,1252 E. Arica Road,,"Eloy, AZ 85131",85131,https://www.prisonpro.com/content/saguaro-correctional-center
107,Benton Unit,AR,0,Benton Unit,6701 Highway 67,,"Benton, AR 72015-8488",72015,Benton Unit,6701 Highway 67,,"Benton, AR 72015-8488",72015,https://www.prisonpro.com/content/benton-unit
108,Boot Camp Program,AR,0,Boot Camp Program,P.O. Box 240,,"Tucker, AR 72168-0240",72168,Boot Camp Program,P.O. Box 240,,"Tucker, AR 72168-0240",72168,https://www.prisonpro.com/content/boot-camp-arkansas
109,Cummins Unit,AR,0,Cummins Unit,P.O. Box 500,,"Grady, AR 71644-0500",71644,Cummins Unit,P.O. Box 500,,"Grady, AR 71644-0500",71644,https://www.prisonpro.com/content/cummins-unit
110,Delta Regional Unit,AR,0,Delta Regional Unit,880 East Gaines,,"Dermott, AR 71638-9505",71638,Delta Regional Unit,880 East Gaines,,"Dermott, AR 71638-9505",71638,https://www.prisonpro.com/content/delta-regional-unit
111,East Arkansas Regional Unit,AR,0,East Arkansas Regional Unit,P.O. Box 970,,"Marianna, AR 72360",72360,East Arkansas Regional Unit,P.O. Box 970,,"Marianna, AR 72360",72360,https://doc.arkansas.gov/facilities/east-arkansas-regional-unit/
112,Grimes Unit,AR,0,Grimes Unit,300 Corrections Drive,,"Newport, AR 72112",72112,Grimes Unit,300 Corrections Drive,,"Newport, AR 72112",72112,https://www.prisonpro.com/content/grimes-unit
113,"J. Aaron Hawkins, Sr., Center for Women",AR,0,"J. Aaron Hawkins, Sr., Center for Women",P.O. Box 1000,,"Wrightsville, AR 72183-1000",72183,"J. Aaron Hawkins, Sr., Center for Women",P.O. Box 1000,,"Wrightsville, AR 72183-1000",72183,https://www.prisonpro.com/content/j-aaron-hawkins-sr-center
114,Maximum Security Unit,AR,0,Maximum Security Unit,2501 State Farm Rd.,,"Tucker, AR 72168-8713",72168,Maximum Security Unit,2501 State Farm Rd.,,"Tucker, AR 72168-8713",72168,https://www.prisonpro.com/content/maximum-security-unit
115,McPherson Unit,AR,0,McPherson Unit,302 Corrections Drive,,"Newport, AR 72112",72112,McPherson Unit,302 Corrections Drive,,"Newport, AR 72112",72112,https://www.prisonpro.com/content/mcpherson-unit
116,Mississippi County Work Release Center,AR,0,Mississippi County Work Release Center,P.O. Box 10,,"Luxora, AR 72358-0010",72358,Mississippi County Work Release Center,P.O. Box 10,,"Luxora, AR 72358-0010",72358,https://www.prisonpro.com/content/mississippi-county-work-release-center
117,North Central Unit,AR,0,North Central Unit,10 Prison Circle,,"Calico Rock, AR 72519",72519,North Central Unit,10 Prison Circle,,"Calico Rock, AR 72519",72519,https://www.prisonpro.com/content/north-central-unit
118,Northwest Arkansas Work Release Center,AR,0,Northwest Arkansas Work Release Center,200 East Price Avenue,,"Springdale, AR 72764",72764,Northwest Arkansas Work Release Center,200 East Price Avenue,,"Springdale, AR 72764",72764,https://www.prisonpro.com/content/northwest-arkansas-work-release-unit
119,Ouachita River Correctional Unit,AR,0,Ouachita River Correctional Unit,P.O. Box 1630,,"Malvern, AR 72104",72104,Ouachita River Correctional Unit,P.O. Box 1630,,"Malvern, AR 72104",72104,https://www.prisonpro.com/content/ouachita-river-unit
120,Pine Bluff Unit,AR,0,Pine Bluff Unit,890 Free Line Dr.,,"Pine Bluff, AR 71603-1498",71603,Pine Bluff Unit,890 Free Line Dr.,,"Pine Bluff, AR 71603-1498",71603,https://www.prisonpro.com/content/pine-bluff-unit
121,Randall L. Williams Correctional Facility,AR,0,Randall L. Williams Correctional Facility,7206 West 7th Street,,"Pine Bluff, AR 71603",71603,Randall L. Williams Correctional Facility,7206 West 7th Street,,"Pine Bluff, AR 71603",71603,https://www.prisonpro.com/content/randall-l-williams-correctional-facility
122,Texarkana Regional Correction Center,AR,0,Texarkana Regional Correction Center,305 East 5th Street,,"Texarkana, AR 71854",71854,Texarkana Regional Correction Center,305 East 5th Street,,"Texarkana, AR 71854",71854,https://www.prisonpro.com/content/texarkana-regional-correctional-center
123,Tucker Unit,AR,0,Tucker Unit,P.O. Box 240,,"Tucker, AR 72168-0240",72168,Tucker Unit,P.O. Box 240,,"Tucker, AR 72168-0240",72168,https://www.prisonpro.com/content/tucker-unit
124,Varner Unit,AR,0,Varner Unit,P.O. Box 600,,"Grady, AR 71644-0600",71644,Varner Unit,P.O. Box 600,,"Grady, AR 71644-0600",71644,https://www.prisonpro.com/content/varner-unit
125,Wrightsville Unit,AR,0,Wrightsville Unit,P.O. Box 1000,,"Wrightsville, AR 72183-1000",72183,Wrightsville Unit,P.O. Box 1000,,"Wrightsville, AR 72183-1000",72183,https://www.prisonpro.com/content/wrightsville-unit
126,Avenal State Prison - Facility A,CA,0,Avenal State Prison,P.O. Box 901,,"Avenal, CA 93204",93204,Avenal State Prison - Facility A,P.O. Box 901,,"Avenal, CA 93204",93204,https://www.prisonpro.com/content/avenal-state-prison
127,Avenal State Prison - Facility B,CA,0,Avenal State Prison,P.O. Box 902,,"Avenal, CA 93204",93204,Avenal State Prison - Facility B,P.O. Box 902,,"Avenal, CA 93204",93204,https://www.prisonpro.com/content/avenal-state-prison
128,Avenal State Prison - Facility C,CA,0,Avenal State Prison,P.O. Box 903,,"Avenal, CA 93204",93204,Avenal State Prison - Facility C,P.O. Box 903,,"Avenal, CA 93204",93204,https://www.prisonpro.com/content/avenal-state-prison
129,Avenal State Prison - Facility D,CA,0,Avenal State Prison,P.O. Box 904,,"Avenal, CA 93204",93204,Avenal State Prison - Facility D,P.O. Box 904,,"Avenal, CA 93204",93204,https://www.prisonpro.com/content/avenal-state-prison
130,Avenal State Prison - Facility E,CA,0,Avenal State Prison,P.O. Box 905,,"Avenal, CA 93204",93204,Avenal State Prison - Facility E,P.O. Box 905,,"Avenal, CA 93204",93204,https://www.prisonpro.com/content/avenal-state-prison
131,Avenal State Prison - Facility F,CA,0,Avenal State Prison,P.O. Box 906,,"Avenal, CA 93204",93204,Avenal State Prison - Facility F,P.O. Box 906,,"Avenal, CA 93204",93204,https://www.prisonpro.com/content/avenal-state-prison
132,California Corr Ctr  A/MSF Facility,CA,0,California Correctional Center,P.O. Box 2500,,"Susanville, CA 96127-2500",96127,"California CC - A Facility, MSF Facility",P.O. Box 2500,,"Susanville, CA 96127-2500",96127,https://www.prisonpro.com/content/california-correctional-center
133,California CC - C Facility,CA,0,California Correctional Center,P.O. Box 2210,,"Susanville, CA 96127-2210",96127,California CC - C Facility,P.O. Box 2210,,"Susanville, CA 96127-2210",96127,https://www.prisonpro.com/content/california-correctional-center
134,"California CC - B Facility, Infirmary",CA,0,California Correctional Center,P.O. Box 2400,,"Susanville, CA 96127-2400",96127,"California CC - B Facility, Infirmary",P.O. Box 2400,,"Susanville, CA 96127-2400",96127,https://www.prisonpro.com/content/california-correctional-center
135,California CI - Housing Unit 1,CA,0,California CI,PO Box 107,,"Tehachapi, CA 93581-0107",93581,California CI - Housing Unit 1,PO Box 107,,"Tehachapi, CA 93581-0107",93581,https://www.prisonpro.com/content/california-correctional-institution
136,California CI - Housing Unit 2,CA,0,California CI,PO Box 608,,"Tehachapi, CA 93581-0608",93581,California CI - Housing Unit 2,PO Box 608,,"Tehachapi, CA 93581-0608",93581,https://www.prisonpro.com/content/california-correctional-institution
137,California CI - Reception Center,CA,0,California CI,PO Box 1905,,"Tehachapi, CA 93581-5905",93581,California CI - Reception Center,PO Box 1905,,"Tehachapi, CA 93581-5905",93581,https://www.prisonpro.com/content/california-correctional-institution
138,California CI - Housing Unit 4A,CA,0,California CI,PO Box 1902,,"Tehachapi, CA 93581-5902",93581,California CI - Housing Unit 4A,PO Box 1902,,"Tehachapi, CA 93581-5902",93581,https://www.prisonpro.com/content/california-correctional-institution
139,California CI - Housing Unit 4B,CA,0,California CI,PO Box 1906,,"Tehachapi, CA 93581-5906",93581,California CI - Housing Unit 4B,PO Box 1906,,"Tehachapi, CA 93581-5906",93581,https://www.prisonpro.com/content/california-correctional-institution
140,California Institution for Men I,CA,0,California Institution for Men I,P.O. Box 600,,"Chino, CA 91708",91708,California Institution for Men I,P.O. Box 600,,"Chino, CA 91708",91708,https://www.prisonpro.com/content/california-institution-men
141,California Institution for Men II,CA,0,California Institution for Men II,P.O. Box 368,,"Chino, CA 91708",91708,California Institution for Men II,P.O. Box 368,,"Chino, CA 91708",91708,https://www.prisonpro.com/content/california-institution-men
142,CIM - Reception Center Central,CA,0,CIM - Reception Center Central,P.O. Box 441,,"Chino, CA 91708",91708,CIM - Reception Center Central,P.O. Box 441,,"Chino, CA 91708",91708,https://www.prisonpro.com/content/california-institution-men
143,CIM - Reception Center East,CA,0,CIM - Reception Center East,P.O. Box 500,,"Chino, CA 91708",91708,CIM - Reception Center East,P.O. Box 500,,"Chino, CA 91708",91708,https://www.prisonpro.com/content/california-institution-men
144,California Institution for Women,CA,0,California Institution for Women,PO Box 8100,,"Corona, CA 92878-8100",92878,California Institution for Women,PO Box 8100,,"Corona, CA 92878-8100",92878,https://www.prisonpro.com/content/california-institution-women
145,CIW - Inmate Money Orders,CA,0,CIW - Inmate Money Orders,PO Box 8102,,"Corona, CA 92878-8100",92878,CIW - Inmate Money Orders,PO Box 8102,,"Corona, CA 92878-8100",92878,https://www.prisonpro.com/content/california-institution-women
146,California Medical Facility,CA,0,California Medical Facility,P.O. Box 2000,,"Vacaville, CA 95696-2000",95696,California Medical Facility,P.O. Box 2000,,"Vacaville, CA 95696-2000",95696,https://www.prisonpro.com/content/california-medical-facility
147,California Men's Colony EAST,CA,0,California Men's Colony EAST,P.O. Box 8101,,"San Luis Obispo, CA 93409-8103",93409,California Men's Colony EAST,P.O. Box 8101,,"San Luis Obispo, CA 93409-8103",93409,https://www.prisonpro.com/content/california-mens-colony
148,California Men's Colony WEST,CA,0,California Men's Colony WEST,P.O. Box 8103,,"San Luis Obispo, CA 93409-8103",93409,California Men's Colony WEST,P.O. Box 8103,,"San Luis Obispo, CA 93409-8103",93409,https://www.prisonpro.com/content/california-mens-colony
149,California Rehabilitation Center,CA,0,California Rehabilitation Center,P.O. Box 3535,,"Norco, CA 92860",92860,California Rehabilitation Center,P.O. Box 3535,,"Norco, CA 92860",92860,https://www.prisonpro.com/content/california-rehabilitation-center
150,California Rehabilitation Center - Inmate Funds,CA,0,California Rehabilitation Center - Inmate Funds,P.O. Box 2000,,"Norco, CA 92860",92860,California Rehabilitation Center - Inmate Funds,P.O. Box 2000,,"Norco, CA 92860",92860,https://www.prisonpro.com/content/california-rehabilitation-center
151,CSP - LA County - Facility A and ASU,CA,0,CSP - LA County,P.O. Box 4430,,"Lancaster, CA 93539-4430",93539,CSP - LA County - Facility A and ASU,P.O. Box 4430,,"Lancaster, CA 93539-4430",93539,https://www.prisonpro.com/content/california-state-prison-los-angeles-county
152,CSP - LA County - Facility B,CA,0,CSP - LA County,P.O. Box 4490,,"Lancaster, CA 93539-4490",93539,CSP - LA County - Facility B,P.O. Box 4490,,"Lancaster, CA 93539-4490",93539,https://www.prisonpro.com/content/california-state-prison-los-angeles-county
153,CSP - LA County - Facility C,CA,0,CSP - LA County,P.O. Box 4610,,"Lancaster, CA 93539-4610",93539,CSP - LA County - Facility C,P.O. Box 4610,,"Lancaster, CA 93539-4610",93539,https://www.prisonpro.com/content/california-state-prison-los-angeles-county
154,CSP - LA County - Facility D,CA,0,CSP - LA County,P.O. Box 4670,,"Lancaster, CA 93539-4670",93539,CSP - LA County - Facility D,P.O. Box 4670,,"Lancaster, CA 93539-4670",93539,https://www.prisonpro.com/content/california-state-prison-los-angeles-county
155,CSP - LA County - Minimum Support Facility,CA,0,CSP - LA County,P.O. Box 4730,,"Lancaster, CA 93539-4730",93539,CSP - LA County - Minimum Support Facility,P.O. Box 4730,,"Lancaster, CA 93539-4730",93539,https://www.prisonpro.com/content/california-state-prison-los-angeles-county
156,CSP - Los Angeles County - Inmate Money Orders,CA,0,CSP - Los Angeles County - Inmate Money Orders,PO BOX 8487,,"Lancaster, CA 93539-8487",93539,CSP - Los Angeles County - Inmate Money Orders,PO BOX 8487,,"Lancaster, CA 93539-8487",93539,https://www.prisonpro.com/content/california-state-prison-los-angeles-county
157,California State Prison-Sacramento,CA,0,California State Prison-Sacramento,P.O. Box 290066,,"Represa, CA 95671",95671,California State Prison-Sacramento,P.O. Box 290066,,"Represa, CA 95671",95671,https://www.prisonpro.com/content/california-state-prison-sacramento
158,"California State Prison, Solano",CA,0,"California State Prison, Solano",P. O. Box 4000,,"Vacaville, CA 95696-4000",95696,"California State Prison, Solano",P. O. Box 4000,,"Vacaville, CA 95696-4000",95696,https://www.prisonpro.com/content/california-state-prison-solano
159,CSATF - Facility A & B,CA,0,CSATF,P.O. Box 5248,,"Corcoran, CA 93212",93212,CSATF - Facility A & B,P.O. Box 5248,,"Corcoran, CA 93212",93212,https://www.prisonpro.com/content/california-substance-abuse-treatment-facility
160,CSATF - Facility C,CA,0,CSATF,P.O. Box 5246,,"Corcoran, CA 93212",93212,CSATF - Facility C,P.O. Box 5246,,"Corcoran, CA 93212",93212,https://www.prisonpro.com/content/california-substance-abuse-treatment-facility
161,CSATF - Facility D & E,CA,0,CSATF,P.O. Box 5242,,"Corcoran, CA 93212",93212,CSATF - Facility D & E,P.O. Box 5242,,"Corcoran, CA 93212",93212,https://www.prisonpro.com/content/california-substance-abuse-treatment-facility
162,CSATF - Facility F & G,CA,0,CSATF,P.O. Box 5244,,"Corcoran, CA 93212",93212,CSATF - Facility F & G,P.O. Box 5244,,"Corcoran, CA 93212",93212,https://www.prisonpro.com/content/california-substance-abuse-treatment-facility
163,Calipatria State Prison - Facility A,CA,0,Calipatria State Prison,PO Box 5004,,"Calipatria, CA 92233-5004",92233,Calipatria State Prison - Facility A,PO Box 5004,,"Calipatria, CA 92233-5004",92233,https://www.prisonpro.com/content/calipatria-state-prison
164,Calipatria State Prison - Facility B,CA,0,Calipatria State Prison,PO Box 5005,,"Calipatria, CA 92233-5005",92233,Calipatria State Prison - Facility B,PO Box 5005,,"Calipatria, CA 92233-5005",92233,https://www.prisonpro.com/content/calipatria-state-prison
165,Calipatria State Prison - Facility C,CA,0,Calipatria State Prison,PO Box 5006,,"Calipatria, CA 92233-5006",92233,Calipatria State Prison - Facility C,PO Box 5006,,"Calipatria, CA 92233-5006",92233,https://www.prisonpro.com/content/calipatria-state-prison
166,Calipatria State Prison - Facility D,CA,0,Calipatria State Prison,PO Box 5007,,"Calipatria, CA 92233-5007",92233,Calipatria State Prison - Facility D,PO Box 5007,,"Calipatria, CA 92233-5007",92233,https://www.prisonpro.com/content/calipatria-state-prison
167,Calipatria State Prison -  MSF/FH/ASU,CA,0,Calipatria State Prison,PO Box 5008,,"Calipatria, CA 92233-5008",92233,Calipatria State Prison -  MSF/FH/ASU,PO Box 5008,,"Calipatria, CA 92233-5008",92233,https://www.prisonpro.com/content/calipatria-state-prison
168,Centinela State Prison - Facility A,CA,0,Centinela State Prison,P.O. Box 901,,"Imperial, CA 92251-0901",92251,Centinela State Prison - Facility A,P.O. Box 901,,"Imperial, CA 92251-0901",92251,https://www.prisonpro.com/content/centinela-state-prison
169,Centinela State Prison - Facility B,CA,0,Centinela State Prison,P.O. Box 911,,"Imperial, CA 92251-0911",92251,Centinela State Prison - Facility B,P.O. Box 911,,"Imperial, CA 92251-0911",92251,https://www.prisonpro.com/content/centinela-state-prison
170,Centinela State Prison - Facility C,CA,0,Centinela State Prison,P.O. Box 921,,"Imperial, CA 92251-921",92251,Centinela State Prison - Facility C,P.O. Box 921,,"Imperial, CA 92251-921",92251,https://www.prisonpro.com/content/centinela-state-prison
171,Centinela State Prison - Facility D,CA,0,Centinela State Prison,P.O. Box 931,,"Imperial, CA 92251-0931",92251,Centinela State Prison - Facility D,P.O. Box 931,,"Imperial, CA 92251-0931",92251,https://www.prisonpro.com/content/centinela-state-prison
172,Central California Womens Facility,CA,0,Central California Womens Facility,P. O. Box 1508,,"Chowchilla, CA 93610",93610,Central California Womens Facility,P. O. Box 1508,,"Chowchilla, CA 93610",93610,https://www.prisonpro.com/content/central-california-womens-facility
173,Chuckawalla Valley State Prison,CA,0,Chuckawalla Valley State Prison,P.O. Box 2349,,"Blythe, CA 92226",92226,Chuckawalla Valley State Prison,P.O. Box 2349,,"Blythe, CA 92226",92226,https://www.prisonpro.com/content/chuckawalla-valley-state-prison
174,Correctional Training Facility - South (Facility D),CA,0,Correctional Training Facility - South,PO Box 690,,"Soledad, CA 93960-0690",93960,Correctional Training Facility - South (Facility D),PO Box 690,,"Soledad, CA 93960-0690",93960,https://www.prisonpro.com/content/correctional-training-facility
175,Correctional Training Facility - Central (Facility C),CA,0,Correctional Training Facility - Central,PO Box 689,,"Soledad, CA 93960-0689",93960,Correctional Training Facility - Central (Facility C),PO Box 689,,"Soledad, CA 93960-0689",93960,https://www.prisonpro.com/content/correctional-training-facility
176,Correctional Training Facility - North (Facility A & B),CA,0,Correctional Training Facility - North,PO Box 705,,"Soledad, CA 93960-0705",93960,Correctional Training Facility - North (Facility A & B),PO Box 705,,"Soledad, CA 93960-0705",93960,https://www.prisonpro.com/content/correctional-training-facility
177,Deuel Vocational Institution,CA,0,Deuel Vocational Institution,P.O. Box 600,,"Tracy, CA 95378-0600",95378,Deuel Vocational Institution,P.O. Box 600,,"Tracy, CA 95378-0600",95378,https://www.prisonpro.com/content/deuel-vocational-institution
178,Folsom State Prison,CA,0,Folsom State Prison,P.O. Box 715071,,"Represa, CA 95671",95671,Folsom State Prison,P.O. Box 715071,,"Represa, CA 95671",95671,https://www.prisonpro.com/content/folsom-state-prison
179,"High Desert State Prison, California",CA,0,High Desert State Prison,P.O. Box 3030,,"Susanville, CA 96127-3030",96127,"High Desert State Prison, California",P.O. Box 3030,,"Susanville, CA 96127-3030",96127,https://www.prisonpro.com/content/high-desert-state-prison-california
180,"High Desert State Prison, California - Inmate Trust Fund",CA,0,High Desert State Prison,P.O. Box 270-249,,"Susanville, CA 96127",96127,"High Desert State Prison, California - Inmate Trust Fund",P.O. Box 270-249,,"Susanville, CA 96127",96127,https://www.prisonpro.com/content/high-desert-state-prison-california
181,Ironwood State Prison,CA,0,Ironwood State Prison,P.O. Box 2199,,"Blythe, CA 92226",92226,Ironwood State Prison,P.O. Box 2199,,"Blythe, CA 92226",92226,https://www.prisonpro.com/content/ironwood-state-prison
